Nation,Confederation,Elo,Q_rate,Recent_Form,Elo_norm
Egypt,CAF,1775,0.5204935058283059,0.7085300154212905,0.6938775274191318
Nigeria,CAF,1833,0.7288473466879204,0.8595824628656477,0.8911564322735909
Algeria,CAF,1831,0.8086124877288815,0.6616353044561586,0.8843537114165405
Ivory Coast,CAF,1730,0.626898062744462,0.46618704349446793,0.5408163081354997
Tunisia,CAF,1796,0.27315216429405087,0.7232562630118863,0.76530609641816
Cameroon,CAF,1736,0.47841727356493957,0.7800897911460447,0.5612244707066507
Mali,CAF,1713,0.6043785718215272,0.6891790570936093,0.48299318085057213
Burkina Faso,CAF,1745,0.2576886209754818,0.7609896510435294,0.591836714563377
Ghana,CAF,1701,0.5543602364661111,0.3061171638443237,0.44217685570827026
South Africa,CAF,1685,0.5582092952395928,0.47796575077494086,0.38775508885186777
DR Congo,CAF,1621,0.4623065250875267,0.515946665794252,0.1700680214262578
Guinea,CAF,1695,0.4711458552828316,0.5452321013500419,0.42176869313711934
Zambia,CAF,1571,0.08232898589705046,0.6791921413186817,0.0
Equatorial Guinea,CAF,1619,0.5436659543773892,0.2561025419472748,0.1632653005692075
Japan,AFC,1874,0.5874327431192699,0.6854772808444238,0.9999999731903493
Iran,AFC,1807,0.9532762894975577,0.5325794834383007,0.8203753131266672
South Korea,AFC,1819,0.8969932799491909,0.655867010640192,0.8525468940335954
Australia,AFC,1745,0.6116994133837867,0.8241886769655786,0.654155478440872
Saudi Arabia,AFC,1769,0.7613080635697438,0.7075805623465992,0.7184986402547282
Qatar,AFC,1728,0.7077192419737066,0.457279237402794,0.6085790721560571
Iraq,AFC,1648,0.43481244392832086,0.5023670774957892,0.3941018661098696
UAE,AFC,1632,0.5642019261484141,0.1295451702398604,0.3512064249006321
Uzbekistan,AFC,1590,0.6610954327571791,0.6167118310776997,0.2386058917263836
Oman,AFC,1619,0.5791704397483076,0.2725132096777638,0.3163538789181266
China,AFC,1619,0.40195508496498267,0.4566654387959638,0.3163538789181266
Syria,AFC,1501,0.5072156983071728,0.38000598648174605,0.0
USA,CONCACAF,1808,0.9304358730635509,0.6259896127848348,0.8706624331021315
Mexico,CONCACAF,1849,0.8355032696838146,0.9254177624041594,0.9999999684542598
Canada,CONCACAF,1804,0.8138139536885209,0.9540033643131051,0.8580441369702165
Panama,CONCACAF,1758,0.6262249517987207,0.41747176614611414,0.7129337314531946
Costa Rica,CONCACAF,1703,0.5940274279510636,0.5690713304507043,0.5394321596393641
Jamaica,CONCACAF,1729,0.3966548923230446,0.6609198334185106,0.6214510844968113
Honduras,CONCACAF,1590,0.3877638281125943,0.2902682539934399,0.18296529391276678
El Salvador,CONCACAF,1537,0.46367293660846765,0.5410803377443014,0.015772870164893687
Haiti,CONCACAF,1532,0.4522789015825006,0.8163071392995962,0.0
New Zealand,OFC,1635,0.2951442641276001,0.30619988582661284,0.9999999719101133
Solomon Islands,OFC,1387,0.14114062573668354,0.20486025600068963,0.3033707779952029
Fiji,OFC,1307,0.2528358670315665,0.15212257198237078,0.07865168318394149
Tahiti,OFC,1279,0.20466501709804777,0.17580433557066003,0.0
